evidence_id,source_phase,source_file,source_row_identifier,source_trace_status,value_source_text
BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010
BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011
BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012
BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013
BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014
BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,exact_file_trace,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015
OfficialAlignment_v1_0_unseen_reader_00016,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_0_unseen_reader_00016,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_0_unseen_reader_00016
OfficialAlignment_v1_0_unseen_text_00017,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_0_unseen_text_00017,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_0_unseen_text_00017
OfficialAlignment_v1_0_unseen_reader_and_text_00018,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_0_unseen_reader_and_text_00018,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_0_unseen_reader_and_text_00018
OfficialAlignment_v1_1_unseen_reader_00019,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_1_unseen_reader_00019,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_reader_00019
OfficialAlignment_v1_1_unseen_text_00020,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_1_unseen_text_00020,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_text_00020
OfficialAlignment_v1_1_unseen_reader_and_text_00021,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_1_unseen_reader_and_text_00021,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_reader_and_text_00021
OfficialAlignment_v1_2_unseen_reader_00022,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_2_unseen_reader_00022,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_reader_00022
OfficialAlignment_v1_2_unseen_text_00023,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_2_unseen_text_00023,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_text_00023
OfficialAlignment_v1_2_unseen_reader_and_text_00024,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_2_unseen_reader_and_text_00024,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_reader_and_text_00024
OfficialAlignment_v1_3_unseen_reader_00025,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_3_unseen_reader_00025,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_3_unseen_reader_00025
OfficialAlignment_v1_3_unseen_text_00026,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_3_unseen_text_00026,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_3_unseen_text_00026
OfficialAlignment_v1_3_unseen_reader_and_text_00027,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_3_unseen_reader_and_text_00027,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_3_unseen_reader_and_text_00027
OfficialAlignment_v1_4_unseen_reader_00028,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_4_unseen_reader_00028,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_4_unseen_reader_00028
OfficialAlignment_v1_4_unseen_text_00029,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_4_unseen_text_00029,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_4_unseen_text_00029
OfficialAlignment_v1_4_unseen_reader_and_text_00030,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_4_unseen_reader_and_text_00030,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_4_unseen_reader_and_text_00030
OfficialAlignment_v1_5_unseen_reader_00031,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_5_unseen_reader_00031,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_5_unseen_reader_00031
OfficialAlignment_v1_5_unseen_text_00032,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_5_unseen_text_00032,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_5_unseen_text_00032
OfficialAlignment_v1_5_unseen_reader_and_text_00033,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_5_unseen_reader_and_text_00033,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_5_unseen_reader_and_text_00033
OfficialAlignment_v1_6_unseen_reader_00034,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_6_unseen_reader_00034,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_6_unseen_reader_00034
OfficialAlignment_v1_6_unseen_text_00035,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_6_unseen_text_00035,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_6_unseen_text_00035
OfficialAlignment_v1_6_unseen_reader_and_text_00036,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_6_unseen_reader_and_text_00036,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_6_unseen_reader_and_text_00036
OfficialAlignment_v1_7_unseen_reader_00037,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_7_unseen_reader_00037,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_7_unseen_reader_00037
OfficialAlignment_v1_7_unseen_text_00038,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_7_unseen_text_00038,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_7_unseen_text_00038
OfficialAlignment_v1_7_unseen_reader_and_text_00039,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_7_unseen_reader_and_text_00039,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_7_unseen_reader_and_text_00039
OfficialAlignment_v1_8_unseen_reader_00040,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_8_unseen_reader_00040,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_8_unseen_reader_00040
OfficialAlignment_v1_8_unseen_text_00041,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_8_unseen_text_00041,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_8_unseen_text_00041
OfficialAlignment_v1_8_unseen_reader_and_text_00042,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_8_unseen_reader_and_text_00042,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_8_unseen_reader_and_text_00042
OfficialAlignment_v1_9_unseen_reader_00043,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_9_unseen_reader_00043,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_9_unseen_reader_00043
OfficialAlignment_v1_9_unseen_text_00044,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_9_unseen_text_00044,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_9_unseen_text_00044
OfficialAlignment_v1_9_unseen_reader_and_text_00045,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_9_unseen_reader_and_text_00045,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_9_unseen_reader_and_text_00045
OfficialAlignment_v1_10_unseen_reader_00046,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_10_unseen_reader_00046,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_10_unseen_reader_00046
OfficialAlignment_v1_10_unseen_text_00047,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_10_unseen_text_00047,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_10_unseen_text_00047
OfficialAlignment_v1_10_unseen_reader_and_text_00048,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_10_unseen_reader_and_text_00048,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_10_unseen_reader_and_text_00048
OfficialAlignment_v1_11_unseen_reader_00049,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_11_unseen_reader_00049,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_11_unseen_reader_00049
OfficialAlignment_v1_11_unseen_text_00050,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_11_unseen_text_00050,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_11_unseen_text_00050
OfficialAlignment_v1_11_unseen_reader_and_text_00051,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_11_unseen_reader_and_text_00051,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_11_unseen_reader_and_text_00051
OfficialAlignment_v1_12_unseen_reader_00052,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_12_unseen_reader_00052,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_12_unseen_reader_00052
OfficialAlignment_v1_12_unseen_text_00053,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_12_unseen_text_00053,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_12_unseen_text_00053
OfficialAlignment_v1_12_unseen_reader_and_text_00054,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_12_unseen_reader_and_text_00054,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_12_unseen_reader_and_text_00054
OfficialAlignment_v1_13_unseen_reader_00055,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_13_unseen_reader_00055,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_13_unseen_reader_00055
OfficialAlignment_v1_13_unseen_text_00056,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_13_unseen_text_00056,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_13_unseen_text_00056
OfficialAlignment_v1_13_unseen_reader_and_text_00057,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_13_unseen_reader_and_text_00057,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_13_unseen_reader_and_text_00057
OfficialAlignment_v1_14_unseen_reader_00058,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_14_unseen_reader_00058,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_14_unseen_reader_00058
OfficialAlignment_v1_14_unseen_text_00059,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_14_unseen_text_00059,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_14_unseen_text_00059
OfficialAlignment_v1_14_unseen_reader_and_text_00060,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_14_unseen_reader_and_text_00060,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_14_unseen_reader_and_text_00060
OfficialAlignment_v1_15_unseen_reader_00061,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_15_unseen_reader_00061,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_15_unseen_reader_00061
OfficialAlignment_v1_15_unseen_text_00062,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_15_unseen_text_00062,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_15_unseen_text_00062
OfficialAlignment_v1_15_unseen_reader_and_text_00063,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_15_unseen_reader_and_text_00063,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_15_unseen_reader_and_text_00063
OfficialAlignment_v1_16_unseen_reader_00064,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_16_unseen_reader_00064,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_16_unseen_reader_00064
OfficialAlignment_v1_16_unseen_text_00065,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_16_unseen_text_00065,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_16_unseen_text_00065
OfficialAlignment_v1_16_unseen_reader_and_text_00066,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_16_unseen_reader_and_text_00066,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_16_unseen_reader_and_text_00066
OfficialAlignment_v1_17_unseen_reader_00067,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_17_unseen_reader_00067,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_17_unseen_reader_00067
OfficialAlignment_v1_17_unseen_text_00068,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_17_unseen_text_00068,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_17_unseen_text_00068
OfficialAlignment_v1_17_unseen_reader_and_text_00069,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,OfficialAlignment_v1_17_unseen_reader_and_text_00069,exact_file_trace,Copied from v1 canonical row OfficialAlignment_v1_17_unseen_reader_and_text_00069
OfficialEyeBenchSOTACheck_v1_blocked_00070,OfficialEyeBenchSOTACheck_v1,analysis/official_eyebench_sota_check_v1/official_sota_decision_report.md,OfficialEyeBenchSOTACheck_v1_blocked_00070,report_text_trace,Copied from v1 canonical row OfficialEyeBenchSOTACheck_v1_blocked_00070
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0000_00071,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0000_00071,exact_file_trace,Copied from v1 canonical row D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0000_00071
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0001_00072,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0001_00072,exact_file_trace,Copied from v1 canonical row D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0001_00072
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0002_00073,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0002_00073,exact_file_trace,Copied from v1 canonical row D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0002_00073
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0006_00074,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0006_00074,exact_file_trace,Copied from v1 canonical row D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0006_00074
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0007_00075,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0007_00075,exact_file_trace,Copied from v1 canonical row D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0007_00075
D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0008_00076,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0008_00076,exact_file_trace,Copied from v1 canonical row D3_EyeBench_own_method_score_max_v2_official_compatible_lite_0008_00076
OperatingPointAdaptation_v1_operating_point_diagnostic_0001_00077,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0001_00077,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0001_00077
OperatingPointAdaptation_v1_operating_point_diagnostic_0002_00078,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0002_00078,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0002_00078
OperatingPointAdaptation_v1_operating_point_diagnostic_0003_00079,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0003_00079,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0003_00079
OperatingPointAdaptation_v1_operating_point_diagnostic_0004_00080,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0004_00080,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0004_00080
OperatingPointAdaptation_v1_operating_point_diagnostic_0005_00081,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0005_00081,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0005_00081
OperatingPointAdaptation_v1_operating_point_diagnostic_0006_00082,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0006_00082,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0006_00082
OperatingPointAdaptation_v1_operating_point_diagnostic_0007_00083,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0007_00083,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0007_00083
OperatingPointAdaptation_v1_operating_point_diagnostic_0008_00084,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0008_00084,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0008_00084
OperatingPointAdaptation_v1_operating_point_diagnostic_0009_00085,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0009_00085,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0009_00085
OperatingPointAdaptation_v1_operating_point_diagnostic_0010_00086,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0010_00086,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0010_00086
OperatingPointAdaptation_v1_operating_point_diagnostic_0011_00087,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0011_00087,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0011_00087
OperatingPointAdaptation_v1_operating_point_diagnostic_0012_00088,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/fixed_threshold_metrics.csv,OperatingPointAdaptation_v1_operating_point_diagnostic_0012_00088,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_operating_point_diagnostic_0012_00088
OperatingPointAdaptation_v1_oracle_diagnostic_0000_00089,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,OperatingPointAdaptation_v1_oracle_diagnostic_0000_00089,exact_file_trace,Copied from v1 canonical row OperatingPointAdaptation_v1_oracle_diagnostic_0000_00089
